"","Num","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_90"
"1",1,"Savage River","PU1_3850_4190",0,0,5.289,4.801,4.321,0.967,0,0,0,0.625
"2",2,"Georges Creek","PU1_3940_3970",0,0,5.267,3.906,3.515,1.752,0,0,0,1.133
"3",3,"Savage River Dam","PU1_4190_4300",0,0,29.591,10.233,9.21,20.381,259.519,0,259.519,30.459
"4",4,"Savage River","PU1_4300_4440",0,0,32.214,11.597,10.437,21.777,0,259.519,259.519,31.361
"5",5,"Stony River","PU1_4760_4451",0,0,10.659,10.661,9.595,1.064,0,0,0,0.688
"6",6,"Mt. Storm Power Station Dam/Stony River Dam","PU1_4840_4760",0,0,9.778,9.78,8.802,0.976,0,0,0,0.631
"7",7,"Potomac River North Branch","PU2_4720_4750",0,0,17.839,17.841,16.057,1.783,0,0,0,1.153
"8",8,"Potomac River North Branch","PU2_4750_4451",0,0,20.249,20.251,18.226,2.023,0,0,0,1.308
"9",9,"North Branch Potomac below Bloomington/Jennings Randolph","PU3_4450_4440",0,0,107.332,44.64,40.176,67.156,0,25746.2,25746.2,329.479
"10",10,"Bloomington/Jennings Randolph","PU3_4451_4450",0,0,101.682,42.982,38.684,62.998,25746.2,0,25746.2,326.792
"11",11,"Potomac River North Branch","PU4_3970_3890",0,0,176.643,78.677,70.809,105.833,0,26005.719,26005.719,371.765
"12",12,"Potomac River North Branch","PU4_4440_3970",0,0,155.951,58.184,52.366,103.586,0,26005.719,26005.719,370.312
