"","Num","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"Back Creek","JU1_6290_6590",0,0,0.086,0.086,0.077,0.009,2.532,2.521,2.269,0.263,0,0,0,0,0,0,0.006,0.17
"2",2,"Back Creek - Bath County Lower Dam","JU1_6590_6600",0.009,0,7.5,1.689,1.52,5.98,9.272,4.42,3.978,5.294,7912.425,11469.22,19381.645,7912.425,11457.43,19369.855,649.92,218.774
"3",3,"Bath County Pump Store - Upper","JU1_6591_6590",0,0,2,1.5,1.35,0.65,2,1.5,1.35,0.65,11469.22,0,11469.22,11457.43,0,11457.43,382.728,127.856
"4",4,"Back Creek","JU2_6600_6810",0.009,0.009,9.811,3.378,3.041,6.77,12.679,6.67,6.003,6.677,0,19410.961,19410.961,0,19399.171,19399.171,651.408,219.993
"5",5,"Little Back Creek","JU2_6602_6600",0,0,1.999,1.5,1.35,0.649,2,1.5,1.35,0.65,29.316,0,29.316,29.316,0,29.316,1.397,0.746
"6",6,"Back Creek","JU2_6810_6900",0.009,0.009,9.838,3.424,3.082,6.757,12.877,6.855,6.17,6.707,0,19410.961,19410.961,0,19399.171,19399.171,651.4,220.013
"7",7,"Dunlap Creek","JU2_7140_7330",0,0,1.759,1.55,1.395,0.364,13.001,11.884,10.696,2.305,0,0,0,0,0,0,0.235,1.49
"8",8,"Potts Creek","JU2_7360_7000",2.332,2.332,1.9,1.512,1.361,0.539,18.433,16.684,15.016,3.417,0,0,0,0,0,0,0.348,2.209
"9",9,"Potts Creek","JU2_7450_7360",2.332,2.332,1.772,1.395,1.255,0.517,17.68,15.929,14.336,3.344,0,0,0,0,0,0,0.334,2.162
"10",10,"Jackson River","JU3_6380_6900",3.578,0,0.696,1.335,1.201,-0.505,4.146,6.596,5.936,-1.79,0,0,0,0,0,0,-0.326,-1.157
"11",11,"Gathright Dam","JU3_6900_6950",3.568,3.626,80,6.293,5.663,74.337,82.792,16.067,14.46,68.332,19276.88,19410.961,38687.841,19276.88,19399.171,38676.051,1337.647,474.036
"12",12,"Jackson River","JU3_6950_7330",45.033,3.645,53.778,8.37,7.533,46.245,75.284,24.49,22.041,53.243,0,38687.841,38687.841,0,38676.051,38676.051,1319.488,464.282
"13",13,"0","JU3_6951_6950",0,0,0,0.092,0.083,-0.083,0,0.896,0.806,-0.806,0,0,0,0,0,0,-0.054,-0.521
"14",14,"James River","JU4_7000_7300",48.853,43.267,167.841,27.618,24.856,142.985,206.621,74.146,66.731,139.89,0,38687.841,38687.841,0,38676.051,38676.051,1382.022,520.292
"15",15,"Jackson River","JU4_7330_7000",45.033,40.935,146.109,16.287,14.659,131.45,167.911,43.791,39.412,128.499,0,38687.841,38687.841,0,38676.051,38676.051,1374.566,512.928
