"","Propname","Riverseg","SminL30mg_apx","SminL30mg_nex","SminL90mg_apx","SminL90mg_nex","apx_lessthan_nex_30","apx_lessthan_nex_90","pctDiff30","pctDiff90"
"1","0. Impoundment: Lake Manassas","PL0_5141_5140",3830.588,4149.644,2971.413,3288.378,TRUE,TRUE,-7.69,-9.64
"2","Carvins Cove Reservoir","OR3_7740_8271_carvins",5979.215,6320.919,5452.271,5839.221,TRUE,TRUE,-5.41,-6.63
"3","AMHERST COUNTY SERVICE AREA - LANUM WTP:Harris Creek","JL6_7440_7430_harris_creek",186.985,193.035,199.647,199.647,TRUE,TRUE,-3.13,0
"4","Lake Pelham: Mountain Run","RU4_5642_5640",575.943,575.943,570.513,570.513,TRUE,TRUE,0,0
"5","Greensville County Raw Water Reservoir and Intake:Nottoway River","MN3_7930_8010",0,0,0,0,TRUE,TRUE,NA,NA
"6","0. Impoundment - Lake Chesdin","JA5_7480_0001",6404.519,6490.228,6404.519,6445.686,TRUE,TRUE,-1.32,-0.64
"7","Blue Ridge Shadows Golf Club:Shenandoah River","PS5_4380_4370_crooked_run",0,0,0,0,TRUE,TRUE,NA,NA
"8","0. Impoundment: Lake Moomaw","JU3_6900_6950",23323.565,23323.565,23323.565,23323.565,TRUE,TRUE,0,0
"9","0. Lake Anna: Dominion Power","YP2_6390_6330",0,0,0,0,TRUE,TRUE,NA,NA
"10","0. Impoundment - Motts Run Reservoir","RU5_6030_0001",1323.702,1323.702,1304.028,1304.028,TRUE,TRUE,0,0
"11","0. Impoundment: Chickahominy Lake/Walkers Dam","JB3_7053_0001",1726.988,1726.988,1726.988,1726.988,TRUE,TRUE,0,0
"12","0. Impoundment: Lake Mead/Lake Kilby","JB1_8090_0001",4045.852,4051.691,4045.852,4045.852,TRUE,TRUE,-0.14,0
"13","Sugar Hollow","JL2_6445_6440",28.315,28.315,28.318,28.497,TRUE,TRUE,0,-0.63
"14","Cobbs Creek Reservoir","JL6_6742_6740",8066.601,9946.116,8066.601,9946.116,TRUE,TRUE,-18.9,-18.9
"15","Beaver Creek - VAHydro 1.0","JL1_6562_6560",478.37,485.384,478.37,478.37,TRUE,TRUE,-1.45,0
"16","South Rivanna River Reservoir","JL2_6441_6520",808.365,847.898,808.365,808.365,TRUE,TRUE,-4.66,0
"17","Ragged Mountain","JL4_6521_6520",1570.62,1574.606,1495.477,1552.104,TRUE,TRUE,-0.25,-3.65
"18","0. Impoundment:Western Branch Dam","JB2_7800_0001",6439.264,6445.07,6429.303,6429.303,TRUE,TRUE,-0.09,0
"19","White Run Reservoir","RU2_6091_6090",884.542,894.287,891.172,897.668,TRUE,TRUE,-1.09,-0.72
"20","Buck Mountain Creek","JL2_6447_6440",520.169,520.169,520.169,520.169,TRUE,TRUE,0,0
"21","Bath County Pump Store - Upper","JU1_6591_6590",11472.962,11576.575,11461.163,11535.422,TRUE,TRUE,-0.9,-0.64
"22","Ivy Creek","JL2_6442_6441",520.169,520.169,520.169,520.169,TRUE,TRUE,0,0
"23","Little Back Creek","JU2_6602_6600",32.584,32.584,32.584,32.584,TRUE,TRUE,0,0
"24","0. Impoundment - Back Creek Lower Dam","JU1_6590_6600",8664.431,8664.431,8664.431,8664.431,TRUE,TRUE,0,0
"25","REPLACED 0. Impoundment - Hunting Run Reservoir","RU4_6040_6030",3026.025,3026.564,2880.103,2884.689,TRUE,TRUE,-0.02,-0.16
"26","0. Impoundment: Kerr Lake","OR7_8470_8490",0,0,0,0,TRUE,TRUE,NA,NA
"27","0. Impoundment: Occoquan Reservoir","PL3_5250_0001",8162.848,8162.848,7993.157,7993.157,TRUE,TRUE,0,0
"28","0. Impoundment: Savage River Reservoir","PU1_4190_4300",2505.743,2516.429,1209.261,1912.94,TRUE,TRUE,-0.42,-36.79
"29","0. Impoundment: Swift Creek Lake","JA2_7290_0001",4340.743,4341.17,4436.761,4436.761,TRUE,TRUE,-0.01,0
"30","Black Creek Reservoir","JL1_7202_7200",32.584,32.584,32.584,32.584,TRUE,TRUE,0,0
"31","Hunting Run","RU5_6033_6030",2660.171,2990.707,2660.171,2834.051,TRUE,TRUE,-11.05,-6.14
"32","Jennings Randolph Lake","PU3_4451_4450",25855.269,27040.694,25855.269,25855.269,TRUE,TRUE,-4.38,0
"33","Motts Run","RU5_6032_6030",1253.517,1253.517,1019.851,1131.502,TRUE,TRUE,0,-9.87
"34","Ni River Reservoir","YM2_6122_6120",914.646,1358.931,1188.973,1188.973,TRUE,TRUE,-32.69,0
"35","Rocky Pen Run","RU5_6031_6030",4710.987,4905.386,4710.987,4829.032,TRUE,TRUE,-3.96,-2.44
"36","Yarmouth Creek @ Cranstons Mill Pond","JB0_7055_7054",168.888,168.888,168.888,168.888,TRUE,TRUE,0,0
"37","0. Impoundment: Little Creek Reservoir","JB0_7051_0001",7718.361,7762.401,7718.361,7718.361,TRUE,TRUE,-0.57,0
"38","0. Impoundment: Mt. Storm Lake","PU1_4840_4760",0,0,0,0,TRUE,TRUE,NA,NA
"39","Beaverdam Swamp @ Reservoir Dam","YL0_7012_7010",2151.574,2151.574,2166.27,2166.27,TRUE,TRUE,0,0
"40","Mill Creek @ Meadows Pond","YP3_6672_6670",43.651,43.651,43.664,43.664,TRUE,TRUE,0,0
"41","Moormans River","JL2_6440_6441",32.584,32.584,32.584,32.584,TRUE,TRUE,0,0
"42","0. Impoundment","OR4_8271_8120",323173.118,328583.904,323173.118,323654.774,TRUE,TRUE,-1.65,-0.15
"43","BLACKSBURG COUNTRY CLUB:North and South Fork (Confluence) Roanoke River","OR2_8020_8130",0,0,0,0,TRUE,TRUE,NA,NA
"44","James River @ Fall Line Richmond","JL7_7070_0001",0,0,0,0,TRUE,TRUE,NA,NA
"45","Spring Hollow Reservoir","OR2_8130_7900_spring_hollow",2949.714,3134.122,2400.783,2579.258,TRUE,TRUE,-5.88,-6.92
"46","LAKE CAROLINE:Mattaponi River","YM3_6430_6620",912.349,912.349,912.349,912.349,TRUE,TRUE,0,0
