"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",2.5,0,-100
"Med. 1 Day Min",17,2.86,-83.2
"Min. 3 Day Min",2.97,-3.8e-13,-100
"Med. 3 Day Min",17.3,3.1,-82.1
"Min. 7 Day Min",3.43,-3.48e-13,-100
"Med. 7 Day Min",18,3.19,-82.3
"Min. 30 Day Min",4.64,0.156,-96.6
"Med. 30 Day Min",22.3,9.33,-58.2
"Min. 90 Day Min",10,3.56,-64.4
"Med. 90 Day Min",31.2,24.7,-20.8
"7Q10",7.29,0.000114,-100
"Year of 90-Day Low Flow",2002,1986,100
"Drought Year Mean",21.5093698630137,52.4446416961506,144
"Mean Baseflow",75.9,149,96.3
